Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2024-05-04 11:20:07,2024-05-05 12:53:25,e-Vize Türkiye Cumhuriyeti,-35.56,0.36,GBP,COMPLETED,3796.56
Card Payment,Current,2024-05-04 12:01:21,2024-05-05 12:14:07,kiwi.com,-113.30,0.00,GBP,COMPLETED,3832.48
Card Payment,Current,2024-05-04 12:13:51,2024-05-06 09:39:47,Pegasus Airlines,-174.00,0.00,GBP,COMPLETED,2622.56
Card Payment,Current,2024-05-04 12:23:52,2024-05-05 09:18:22,Ajet,-58.20,0.00,GBP,COMPLETED,3955.23
Card Payment,Current,2024-05-04 12:31:27,2024-05-06 09:39:49,Pegasus Airlines,-88.00,0.00,GBP,COMPLETED,2534.56
Card Payment,Current,2024-05-04 17:26:23,2024-05-05 09:15:34,Costa Coffee,-3.80,0.00,GBP,COMPLETED,4013.43
Card Payment,Current,2024-05-05 03:04:33,2024-05-05 10:49:24,Transport for London,-9.45,0.00,GBP,COMPLETED,3945.78
Card Payment,Current,2024-05-06 02:21:33,2024-05-06 10:31:35,Transport for London,-7.90,0.00,GBP,COMPLETED,2526.66
Transfer,Current,2024-05-06 09:23:07,2024-05-06 09:23:56,Depositing savings,-1000.00,0.00,GBP,COMPLETED,2796.56
Card Payment,Current,2024-05-06 10:02:39,2024-05-07 10:34:11,Marks & Spencer,-14.50,0.00,GBP,COMPLETED,2488.17
Card Payment,Current,2024-05-06 17:16:14,2024-05-07 09:59:01,Taco Bell,-10.49,0.00,GBP,COMPLETED,2516.17
Card Payment,Current,2024-05-07 02:15:17,2024-05-07 10:17:22,Transport for London,-13.50,0.00,GBP,COMPLETED,2502.67
Card Payment,Current,2024-05-07 09:52:33,2024-05-08 10:10:41,Trainline,-23.95,0.00,GBP,COMPLETED,2464.22
Card Payment,Current,2024-05-07 10:45:40,2024-05-08 12:06:30,Access Bureau,-101.09,0.00,GBP,COMPLETED,2355.14
Card Payment,Current,2024-05-07 10:49:22,2024-05-08 10:35:05,Leon,-7.99,0.00,GBP,COMPLETED,2456.23
Card Payment,Current,2024-05-07 13:36:45,2024-05-08 12:38:20,J D Wetherspoon,-11.45,0.00,GBP,COMPLETED,2334.26
Card Payment,Current,2024-05-07 14:30:10,2024-05-08 12:38:18,J D Wetherspoon,-3.28,0.00,GBP,COMPLETED,2345.71
Card Payment,Current,2024-05-08 02:54:35,2024-05-08 12:11:03,Transport for London,-6.15,0.00,GBP,COMPLETED,2348.99
ATM,Current,2024-05-08 12:46:08,,Cash withdrawal at Akbank/fatih Yerebatan,-53.33,0.00,GBP,REVERTED,
ATM,Current,2024-05-08 12:49:23,2024-05-09 14:20:39,Cash withdrawal at Sultanahmet Yerebatan Cd.,-54.10,0.00,GBP,COMPLETED,2280.16
Card Payment,Current,2024-05-08 18:17:13,2024-05-09 14:24:50,DeFacto,-12.47,0.00,GBP,COMPLETED,2267.69
Transfer,Current,2024-05-09 15:06:27,2024-05-09 15:06:30,To Hezron McNeish,-900.00,0.00,GBP,COMPLETED,1367.69
Card Payment,Current,2024-05-09 19:00:38,2024-05-11 14:32:50,Galata Otantik Shop,-27.39,0.00,GBP,COMPLETED,1340.30
Card Payment,Current,2024-05-09 22:08:32,2024-05-11 14:33:04,Afro Grup Turizm Eglence,-189.18,0.00,GBP,COMPLETED,1151.12
Card Payment,Current,2024-05-11 13:06:40,2024-05-12 14:48:54,Derinkuyu Underground City,-22.53,0.23,GBP,COMPLETED,1128.36
Card Payment,Current,2024-05-12 08:41:54,2024-05-13 14:55:46,Sun Point Cappadocia,-5.99,0.06,GBP,COMPLETED,1076.60
Card Payment,Current,2024-05-12 14:35:56,2024-05-13 14:22:37,Seten,-17.90,0.18,GBP,COMPLETED,1092.21
Card Payment,Current,2024-05-12 14:36:28,2024-05-13 14:22:37,Seten,-17.89,0.18,GBP,COMPLETED,1110.29
Card Payment,Current,2024-05-12 17:29:39,2024-05-13 14:51:11,Memillioglu Bakkal,-9.47,0.09,GBP,COMPLETED,1082.65
Card Payment,Current,2024-05-13 15:10:37,2024-05-14 13:49:20,Nurdem Turizm Isletmeci,-10.93,0.00,GBP,COMPLETED,1065.67
Card Payment,Current,2024-05-13 18:54:38,2024-05-14 14:54:40,DeFacto,-3.73,0.00,GBP,COMPLETED,1003.44
Card Payment,Current,2024-05-13 19:16:37,2024-05-14 14:08:02,LC Waikiki,-16.97,0.00,GBP,COMPLETED,1007.17
Card Payment,Current,2024-05-13 19:44:50,2024-05-14 14:03:06,Migros-Mall Of Antalya,-41.53,0.00,GBP,COMPLETED,1024.14
Card Payment,Current,2024-05-14 10:07:04,2024-05-15 14:37:29,Topcuoglu Petrol,-0.50,0.00,GBP,COMPLETED,987.95
Card Payment,Current,2024-05-14 20:03:28,2024-05-15 14:50:31,Ayvalik Tost,-11.86,0.00,GBP,COMPLETED,976.09
Fee,Current,2024-05-15 01:28:35,2024-05-15 01:28:35,Metal plan fee,-14.99,0.00,GBP,COMPLETED,988.45
Card Payment,Current,2024-05-15 08:49:01,2024-05-16 14:46:31,Inci Kuru Temizleme,-37.02,0.00,GBP,COMPLETED,939.07
Card Payment,Current,2024-05-16 12:47:08,2024-05-17 15:37:46,Mh Tuna Petrol,-7.30,0.00,GBP,COMPLETED,931.77
Card Payment,Current,2024-05-17 14:22:12,2024-05-18 14:06:16,Figo Market,-14.72,0.00,GBP,COMPLETED,890.71
Card Payment,Current,2024-05-17 15:56:53,2024-05-18 13:53:14,Ersin Butik,-8.58,0.00,GBP,COMPLETED,915.23
Card Payment,Current,2024-05-17 17:52:06,2024-05-18 13:53:19,Hatay Ocakbasi Kas,-7.35,0.00,GBP,COMPLETED,907.88
Card Payment,Current,2024-05-17 18:04:45,2024-05-18 13:53:24,Miya Dolcavita,-2.45,0.00,GBP,COMPLETED,905.43
Card Payment,Current,2024-05-17 18:31:37,2024-05-18 13:26:27,Kash Kozmetik,-7.96,0.00,GBP,COMPLETED,923.81
Card Payment,Current,2024-05-17 19:22:46,2024-05-19 13:34:12,Dostlar Market,-7.95,0.00,GBP,COMPLETED,875.82
Card Payment,Current,2024-05-17 23:32:18,2024-05-19 13:21:55,Turker Market Turker Baki,-6.87,0.07,GBP,COMPLETED,883.77
Card Payment,Current,2024-05-18 18:14:47,2024-05-19 13:50:41,KFC,-12.02,0.12,GBP,COMPLETED,863.68
Card Payment,Current,2024-05-19 03:06:00,2024-05-20 13:42:04,Derin Suites Otel,-28.97,0.29,GBP,COMPLETED,820.87
Card Payment,Current,2024-05-19 04:27:39,2024-05-20 14:01:09,Ä°Ã§tur,-8.96,0.09,GBP,COMPLETED,811.82
Card Payment,Current,2024-05-19 04:27:39,2024-05-20 14:01:09,İçtur,-8.96,0.09,GBP,COMPLETED,811.82
Card Payment,Current,2024-05-19 13:11:12,2024-05-20 09:57:45,LycaMobile,-10.00,0.00,GBP,COMPLETED,853.68
Card Payment,Current,2024-05-20 02:31:05,2024-05-20 11:02:01,Transport for London,-3.55,0.00,GBP,COMPLETED,850.13
Card Payment,Current,2024-05-20 10:44:20,2024-05-21 11:03:41,The Raj,-13.09,0.00,GBP,COMPLETED,785.91
Card Payment,Current,2024-05-20 19:46:29,2024-05-21 09:45:22,Elior,-12.82,0.00,GBP,COMPLETED,799.00
Card Payment,Current,2024-05-20 23:42:30,2024-05-22 09:46:44,Deliveroo,-23.09,0.00,GBP,COMPLETED,762.82
Card Payment,Current,2024-05-21 12:33:46,2024-05-22 10:21:03,German Doner Kebab,-6.99,0.00,GBP,COMPLETED,755.83
Card Payment,Current,2024-05-22 03:16:53,2024-05-22 11:28:32,Transport for London,-7.90,0.00,GBP,COMPLETED,747.93
Card Payment,Current,2024-05-22 07:30:25,2024-05-23 10:29:11,Treats,-5.90,0.00,GBP,COMPLETED,729.53
Card Payment,Current,2024-05-22 19:36:42,2024-05-23 10:59:36,Tesco,-6.00,0.00,GBP,COMPLETED,723.53
Card Payment,Current,2024-05-22 20:20:55,2024-05-23 10:20:55,Haweli Of Epsom,-12.50,0.00,GBP,COMPLETED,735.43
Card Payment,Current,2024-05-23 03:17:11,2024-05-23 11:08:37,Transport for London,-17.60,0.00,GBP,COMPLETED,705.93
Card Payment,Current,2024-05-23 08:45:15,2024-05-24 09:41:26,Puccino's,-2.20,0.00,GBP,COMPLETED,4028.33
Card Payment,Current,2024-05-23 11:48:49,2024-05-24 09:42:05,Elior,-6.41,0.00,GBP,COMPLETED,4021.92
Card Payment,Current,2024-05-23 12:13:08,2024-05-24 09:42:09,Elior,-1.00,0.00,GBP,COMPLETED,4014.51
Topup,Current,2024-05-23 17:08:34,2024-05-23 17:08:34,Payment from BARTS HEALTH NHS,3324.60,0.00,GBP,COMPLETED,4030.53
Card Payment,Current,2024-05-23 20:28:09,2024-05-24 09:42:05,Elior,-6.41,0.00,GBP,COMPLETED,4015.51
Card Payment,Current,2024-05-24 03:18:54,2024-05-24 11:09:10,Transport for London,-10.70,0.00,GBP,COMPLETED,4003.81
Card Payment,Current,2024-05-24 12:03:53,2024-05-25 10:03:32,Whipps Cross University Hospital,-6.41,0.00,GBP,COMPLETED,3989.99
Card Payment,Current,2024-05-24 12:22:46,2024-05-25 10:03:28,Elior,-1.00,0.00,GBP,COMPLETED,4002.81
Card Payment,Current,2024-05-24 20:55:27,2024-05-25 10:03:30,Elior,-6.41,0.00,GBP,COMPLETED,3996.40
Transfer,Current,2024-05-25 17:03:56,2024-05-25 17:03:58,To Kochans Ltd,-100.00,0.00,GBP,COMPLETED,3889.99
Transfer,Current,2024-05-25 17:06:37,2024-05-25 17:06:37,Depositing savings,-100.00,0.00,GBP,COMPLETED,3789.99
Card Payment,Current,2024-05-25 19:18:13,2024-05-26 11:25:52,McDonald's,-6.39,0.00,GBP,COMPLETED,3723.60
Transfer,Current,2024-05-25 19:58:05,2024-05-25 19:58:05,Transfer to MOKSHITH MOHAN KOTHARI,-60.00,0.00,GBP,COMPLETED,3729.99
Card Payment,Current,2024-05-25 23:28:24,2024-05-27 11:18:14,7 Star Traders,-7.59,0.00,GBP,COMPLETED,3667.83
Card Payment,Current,2024-05-26 00:41:34,2024-05-28 14:09:03,Air Canada,-582.79,0.00,GBP,COMPLETED,2267.49
Card Payment,Current,2024-05-26 02:50:32,2024-05-26 11:26:00,Transport for London,-6.40,0.00,GBP,COMPLETED,3717.20
Card Payment,Current,2024-05-26 12:58:06,2024-05-27 10:43:01,Taco Bell,-8.48,0.00,GBP,COMPLETED,3685.42
Transfer,Current,2024-05-26 13:23:56,2024-05-29 09:10:32,SWIFT Transfer to Faziha Ziyan Nasser,-643.80,7.04,GBP,COMPLETED,1616.65
Card Payment,Current,2024-05-26 14:46:24,2024-05-27 15:40:24,Roni's Bakery,-5.50,0.00,GBP,COMPLETED,3662.33
Card Payment,Current,2024-05-26 15:50:12,2024-05-27 10:26:56,Amazon,-8.55,0.00,GBP,COMPLETED,3701.40
Card Payment,Current,2024-05-26 19:20:43,2024-05-27 10:40:58,Amazon,-7.50,0.00,GBP,COMPLETED,3693.90
Card Payment,Current,2024-05-26 20:00:24,2024-05-27 10:08:22,Sainsbury's,-7.25,0.00,GBP,COMPLETED,3709.95
Card Payment,Current,2024-05-27 02:39:43,2024-05-27 11:11:57,Transport for London,-10.00,0.00,GBP,COMPLETED,3675.42
Card Payment,Current,2024-05-27 11:28:32,2024-05-29 10:52:35,Just Eat,-12.08,0.00,GBP,COMPLETED,1604.57
Exchange,Current,2024-05-27 18:43:37,2024-05-27 18:43:37,Exchanged to CAD,-575.43,0.00,GBP,COMPLETED,3086.90
Card Payment,Current,2024-05-27 19:17:21,2024-05-28 11:17:29,Temu,-36.62,0.00,GBP,COMPLETED,2850.28
Transfer,Current,2024-05-28 07:45:36,2024-05-28 07:45:37,Depositing savings,-200.00,0.00,GBP,COMPLETED,2886.90
Card Payment,Current,2024-05-28 17:46:13,2024-05-29 12:14:50,Deliveroo,-13.80,0.00,GBP,COMPLETED,1590.77
Card Payment,Current,2024-05-29 08:27:57,2024-05-30 11:32:03,Marks & Spencer,-5.50,0.00,GBP,COMPLETED,1567.69
Card Payment,Current,2024-05-29 17:28:32,,Just Eat,-13.14,0.00,GBP,REVERTED,
Card Payment,Current,2024-05-29 17:48:02,2024-05-30 10:01:55,Deliveroo,-17.58,0.00,GBP,COMPLETED,1573.19
Card Payment,Current,2024-05-30 08:45:32,2024-05-31 11:43:45,Marks & Spencer,-8.25,0.00,GBP,COMPLETED,1559.44
Card Payment,Current,2024-05-30 18:25:05,2024-06-01 10:09:17,Just Eat,-12.08,0.00,GBP,COMPLETED,1547.36
Card Payment,Current,2024-05-31 10:32:07,2024-06-01 14:43:56,Too Good To Go,-2.99,0.00,GBP,COMPLETED,1544.37
Card Payment,Current,2024-06-01 03:21:51,2024-06-01 17:42:38,Transport for London,-7.90,0.00,GBP,COMPLETED,1536.47
Transfer,Current,2024-06-01 18:52:37,2024-06-01 18:52:38,Depositing savings,-0.25,0.00,GBP,COMPLETED,1536.22
Card Payment,Current,2024-06-01 18:52:37,2024-06-02 10:34:37,Sainsbury's,-10.75,0.00,GBP,COMPLETED,1525.19
Transfer,Current,2024-06-01 22:18:53,2024-06-01 22:18:53,Depositing savings,-0.28,0.00,GBP,COMPLETED,1535.94
Card Payment,Current,2024-06-01 22:18:53,2024-06-02 11:45:08,Deliveroo,-24.72,0.00,GBP,COMPLETED,1500.47
Transfer,Current,2024-06-02 16:34:15,2024-06-02 16:34:15,Depositing savings,-0.05,0.00,GBP,COMPLETED,1500.42
Card Payment,Current,2024-06-02 16:34:15,2024-06-03 09:46:02,Tesco,-2.95,0.00,GBP,COMPLETED,1293.69
Transfer,Current,2024-06-02 18:35:12,2024-06-02 18:35:12,Depositing savings,-0.05,0.00,GBP,COMPLETED,1500.37
Card Payment,Current,2024-06-02 18:35:12,2024-06-03 10:12:17,Deliveroo,-21.95,0.00,GBP,COMPLETED,1271.74
Transfer,Current,2024-06-03 02:14:05,2024-06-03 02:14:06,Depositing savings,-0.30,0.00,GBP,COMPLETED,1500.07
Card Payment,Current,2024-06-03 02:14:05,2024-06-03 12:33:32,Transport for London,-9.70,0.00,GBP,COMPLETED,1262.04
Transfer,Current,2024-06-03 05:58:28,2024-06-03 05:58:28,Transfer to XXX VIPIN SATHEESH,-701.66,0.00,GBP,COMPLETED,798.41
Transfer,Current,2024-06-03 06:01:51,2024-06-03 06:01:51,Withdrawing savings,500.00,0.00,GBP,COMPLETED,1298.41
Transfer,Current,2024-06-03 07:09:03,2024-06-03 07:09:03,Depositing savings,-0.77,0.00,GBP,COMPLETED,1297.64
Card Payment,Current,2024-06-03 07:09:03,2024-06-04 10:07:14,Elior,-8.23,0.00,GBP,COMPLETED,1253.08
Transfer,Current,2024-06-03 07:17:16,2024-06-03 07:17:17,Depositing savings,-1.00,0.00,GBP,COMPLETED,1296.64
Card Payment,Current,2024-06-03 07:17:16,2024-06-04 10:25:25,Chef Akila,-58.00,0.00,GBP,COMPLETED,1195.08
Transfer,Current,2024-06-03 15:20:19,2024-06-03 15:20:20,Depositing savings,-0.01,0.00,GBP,COMPLETED,1262.03
Card Payment,Current,2024-06-03 15:20:19,2024-06-04 17:02:30,Whitechapel Fried Chicken,-6.99,0.00,GBP,COMPLETED,1181.95
Transfer,Current,2024-06-04 02:51:41,2024-06-04 02:51:41,Depositing savings,-0.45,0.00,GBP,COMPLETED,1261.58
Card Payment,Current,2024-06-04 02:51:41,2024-06-04 16:44:59,Transport for London,-5.55,0.00,GBP,COMPLETED,1188.94
Transfer,Current,2024-06-04 07:19:21,2024-06-04 07:19:21,Depositing savings,-0.27,0.00,GBP,COMPLETED,1261.31
Card Payment,Current,2024-06-04 07:19:21,2024-06-05 17:16:02,Elior,-7.73,0.00,GBP,COMPLETED,1173.72
Transfer,Current,2024-06-04 14:42:29,2024-06-04 14:42:29,Depositing savings,-0.59,0.00,GBP,COMPLETED,1194.49
Card Payment,Current,2024-06-04 14:42:29,2024-06-05 17:16:07,Elior,-6.41,0.00,GBP,COMPLETED,1167.31
Transfer,Current,2024-06-04 20:30:57,2024-06-04 20:30:57,Depositing savings,-0.50,0.00,GBP,COMPLETED,1181.45
Card Payment,Current,2024-06-04 20:30:57,2024-06-06 11:22:03,Just Eat,-14.50,0.00,GBP,COMPLETED,1145.25
Transfer,Current,2024-06-05 18:57:35,2024-06-05 18:57:36,Depositing savings,-0.59,0.00,GBP,COMPLETED,1166.72
Card Payment,Current,2024-06-05 18:57:35,2024-06-06 10:15:56,Elior,-6.41,0.00,GBP,COMPLETED,1159.75
Card Payment,Current,2024-06-05 23:19:57,2024-06-07 12:22:36,7 Star Traders,-7.49,0.00,GBP,COMPLETED,1069.44
Transfer,Current,2024-06-05 23:19:58,2024-06-05 23:19:58,Depositing savings,-0.51,0.00,GBP,COMPLETED,1166.21
Transfer,Current,2024-06-06 03:14:54,2024-06-06 03:14:55,Depositing savings,-0.05,0.00,GBP,COMPLETED,1166.16
Card Payment,Current,2024-06-06 03:14:54,2024-06-06 17:10:29,Transport for London,-4.95,0.00,GBP,COMPLETED,1137.78
Card Payment,Current,2024-06-06 11:38:01,2024-06-07 11:12:03,Greggs,-4.50,0.00,GBP,COMPLETED,1077.90
Transfer,Current,2024-06-06 11:38:02,2024-06-06 11:38:02,Depositing savings,-0.50,0.00,GBP,COMPLETED,1144.75
Transfer,Current,2024-06-06 12:38:31,2024-06-06 12:38:31,Depositing savings,-0.02,0.00,GBP,COMPLETED,1144.73
Card Payment,Current,2024-06-06 12:38:31,2024-06-07 11:09:14,Oxfam,-5.98,0.00,GBP,COMPLETED,1082.40
Transfer,Current,2024-06-06 12:58:10,2024-06-06 12:58:10,Depositing savings,-1.00,0.00,GBP,COMPLETED,1143.73
Card Payment,Current,2024-06-06 12:58:10,2024-06-07 10:43:18,Hotel Chocolat,-29.00,0.00,GBP,COMPLETED,1088.38
Card Payment,Current,2024-06-06 13:11:53,2024-06-07 10:35:56,Scope,-3.00,0.00,GBP,COMPLETED,1117.38
Transfer,Current,2024-06-06 13:11:54,2024-06-06 13:11:54,Depositing savings,-1.00,0.00,GBP,COMPLETED,1142.73
Transfer,Current,2024-06-07 09:30:00,2024-06-07 10:01:31,To General Medical C,-17.40,0.00,GBP,COMPLETED,1120.38
Transfer,Current,2024-06-07 11:35:30,2024-06-07 11:35:30,Depositing savings,-0.10,0.00,GBP,COMPLETED,1077.80
Card Payment,Current,2024-06-07 11:35:30,2024-06-08 09:32:04,Olympic Fish & Chips,-9.90,0.00,GBP,COMPLETED,1058.44
Transfer,Current,2024-06-07 11:44:11,2024-06-07 11:44:11,Depositing savings,-0.87,0.00,GBP,COMPLETED,1076.93
Card Payment,Current,2024-06-07 11:44:11,2024-06-08 11:50:56,7 Star Traders,-4.13,0.00,GBP,COMPLETED,1054.31
Transfer,Current,2024-06-07 21:43:26,2024-06-07 21:43:26,Depositing savings,-1.00,0.00,GBP,COMPLETED,1068.44
Card Payment,Current,2024-06-07 21:43:26,2024-06-08 12:05:35,The Raj,-7.00,0.00,GBP,COMPLETED,1047.31
Transfer,Current,2024-06-08 03:14:19,2024-06-08 03:14:19,Depositing savings,-0.10,0.00,GBP,COMPLETED,1068.34
Card Payment,Current,2024-06-08 03:14:19,2024-06-08 17:32:59,Transport for London,-7.90,0.00,GBP,COMPLETED,1039.41
Transfer,Current,2024-06-08 21:40:43,2024-06-08 21:40:43,Depositing savings,-0.56,0.00,GBP,COMPLETED,1038.85
Card Payment,Current,2024-06-08 21:40:43,2024-06-09 11:47:48,The Raj,-2.44,0.00,GBP,COMPLETED,135.95
Transfer,Current,2024-06-09 08:43:26,2024-06-09 08:43:26,Depositing savings,-0.01,0.00,GBP,COMPLETED,1038.84
Card Payment,Current,2024-06-09 08:43:26,2024-06-10 17:20:03,Glade Food & Wines,-3.99,0.00,GBP,COMPLETED,129.51
Transfer,Current,2024-06-09 09:12:53,2024-06-09 09:12:57,To Hezron McNeish,-900.00,0.00,GBP,COMPLETED,138.84
Transfer,Current,2024-06-09 09:44:17,2024-06-09 09:44:18,Depositing savings,-0.45,0.00,GBP,COMPLETED,138.39
Card Payment,Current,2024-06-09 09:44:17,2024-06-11 09:52:07,Just Eat,-11.55,0.00,GBP,COMPLETED,104.93
Transfer,Current,2024-06-09 20:39:20,2024-06-09 20:39:20,Depositing savings,-0.92,0.00,GBP,COMPLETED,135.03
Card Payment,Current,2024-06-09 20:39:20,2024-06-10 17:24:59,Just Eat,-12.08,0.00,GBP,COMPLETED,117.43
Transfer,Current,2024-06-10 10:41:49,2024-06-10 10:41:49,Depositing savings,-0.03,0.00,GBP,COMPLETED,135.00
Card Payment,Current,2024-06-10 10:41:49,2024-06-11 11:16:10,WHSmith,-14.97,0.00,GBP,COMPLETED,69.41
Transfer,Current,2024-06-10 10:56:35,2024-06-10 10:56:35,Depositing savings,-0.50,0.00,GBP,COMPLETED,134.50
Card Payment,Current,2024-06-10 10:56:35,2024-06-11 11:16:08,WHSmith,-5.50,0.00,GBP,COMPLETED,84.38
Card Payment,Current,2024-06-10 11:28:35,2024-06-11 14:11:18,Holafly,-34.00,0.00,GBP,COMPLETED,35.41
Transfer,Current,2024-06-10 11:28:36,2024-06-10 11:28:36,Depositing savings,-1.00,0.00,GBP,COMPLETED,133.50
Transfer,Current,2024-06-11 03:01:00,2024-06-11 03:01:01,Depositing savings,-0.95,0.00,GBP,COMPLETED,116.48
Card Payment,Current,2024-06-11 03:01:00,2024-06-11 10:37:12,Transport for London,-15.05,0.00,GBP,COMPLETED,89.88
Fee,Current,2024-06-15 01:57:30,2024-06-15 01:57:30,Metal plan fee,-14.99,0.00,GBP,COMPLETED,20.42
Transfer,Current,2024-06-15 18:08:45,2024-06-15 18:08:45,Withdrawing savings,100.00,0.00,GBP,COMPLETED,120.42
Transfer,Current,2024-06-15 18:11:09,2024-06-15 18:11:11,To Monika Kochanskiene,-100.00,0.00,GBP,COMPLETED,20.42
Transfer,Current,2024-06-17 14:51:34,2024-06-17 14:51:35,Withdrawing savings,128.00,0.00,GBP,COMPLETED,148.42
Exchange,Current,2024-06-18 14:58:11,2024-06-18 14:58:11,Exchanged to CAD,-6.32,0.00,GBP,COMPLETED,142.10
Exchange,Current,2024-06-18 15:09:14,2024-06-18 15:09:14,Exchanged to GBP,0.12,0.00,GBP,COMPLETED,142.22
Exchange,Current,2024-06-18 15:09:34,2024-06-18 15:09:34,Exchanged to GBP,3.00,0.00,GBP,COMPLETED,145.22
Transfer,Current,2024-06-18 23:17:51,2024-06-18 23:17:51,Withdrawing savings,218.00,0.00,GBP,COMPLETED,363.22
Transfer,Current,2024-06-18 23:20:01,2024-06-18 23:20:03,To Mokshith Kothari,-218.00,0.00,GBP,COMPLETED,145.22
Transfer,Current,2024-06-19 03:21:05,2024-06-19 03:21:05,Depositing savings,-0.70,0.00,GBP,COMPLETED,144.52
Card Payment,Current,2024-06-19 03:21:05,2024-06-19 11:10:19,Transport for London,-13.30,0.00,GBP,COMPLETED,130.72
Transfer,Current,2024-06-19 07:35:22,2024-06-19 07:35:23,Depositing savings,-0.50,0.00,GBP,COMPLETED,144.02
Card Payment,Current,2024-06-19 07:35:22,2024-06-20 10:21:00,Elior,-3.50,0.00,GBP,COMPLETED,119.95
Transfer,Current,2024-06-19 15:05:50,2024-06-19 15:05:51,Depositing savings,-0.59,0.00,GBP,COMPLETED,130.13
Card Payment,Current,2024-06-19 15:05:50,2024-06-20 10:20:54,Elior,-6.41,0.00,GBP,COMPLETED,123.45
Transfer,Current,2024-06-20 07:34:47,2024-06-20 07:34:47,Depositing savings,-0.27,0.00,GBP,COMPLETED,129.86
Card Payment,Current,2024-06-20 07:34:47,2024-06-21 10:11:32,Elior,-7.73,0.00,GBP,COMPLETED,111.95
Card Payment,Current,2024-06-21 07:29:24,2024-06-22 10:16:29,Elior,-7.73,0.00,GBP,COMPLETED,263.10
Transfer,Current,2024-06-21 07:29:25,2024-06-21 07:29:25,Depositing savings,-0.27,0.00,GBP,COMPLETED,119.68
Transfer,Current,2024-06-21 14:52:49,2024-06-21 14:52:49,Depositing savings,-0.59,0.00,GBP,COMPLETED,111.36
Card Payment,Current,2024-06-21 14:52:49,2024-06-22 10:16:34,Elior,-6.41,0.00,GBP,COMPLETED,256.69
Card Payment,Current,2024-06-21 19:16:48,2024-06-22 10:11:38,Leo Souvlaki,-4.00,0.00,GBP,COMPLETED,270.83
Transfer,Current,2024-06-21 19:16:49,2024-06-21 19:16:49,Depositing savings,-1.00,0.00,GBP,COMPLETED,110.36
Transfer,Current,2024-06-21 19:44:57,2024-06-21 19:44:58,Depositing savings,-0.40,0.00,GBP,COMPLETED,109.96
Card Payment,Current,2024-06-21 19:44:57,2024-06-23 09:46:07,Trainline,-16.60,0.00,GBP,COMPLETED,95.01
Transfer,Current,2024-06-21 20:16:24,2024-06-21 20:16:24,Transfer from RAUNAQ BIR SINGH CHAUDHRY,75.00,0.00,GBP,COMPLETED,184.96
ATM,Current,2024-06-21 20:21:49,2024-06-23 09:25:38,Cash withdrawal at Notemachine,-100.00,0.00,GBP,COMPLETED,130.03
Transfer,Current,2024-06-21 20:34:55,2024-06-21 20:34:55,Depositing savings,-0.84,0.00,GBP,COMPLETED,184.12
Card Payment,Current,2024-06-21 20:34:55,2024-06-22 10:16:35,NEET,-7.16,0.00,GBP,COMPLETED,249.53
Transfer,Current,2024-06-21 23:15:26,2024-06-21 23:15:26,Depositing savings,-0.89,0.00,GBP,COMPLETED,183.23
Card Payment,Current,2024-06-21 23:15:26,2024-06-22 11:51:01,Just Eat,-11.11,0.00,GBP,COMPLETED,238.42
Card Payment,Current,2024-06-22 03:19:49,2024-06-23 08:57:34,Transport for London,-6.00,0.00,GBP,COMPLETED,230.03
Transfer,Current,2024-06-22 03:19:50,2024-06-22 03:19:50,Depositing savings,-1.00,0.00,GBP,COMPLETED,182.23
Transfer,Current,2024-06-22 07:37:46,2024-06-22 07:37:47,Depositing savings,-0.40,0.00,GBP,COMPLETED,181.83
Card Payment,Current,2024-06-22 07:37:46,2024-06-23 09:46:03,Elior,-5.60,0.00,GBP,COMPLETED,124.43
Transfer,Current,2024-06-22 07:41:21,2024-06-22 07:41:21,Withdrawing savings,93.00,0.00,GBP,COMPLETED,274.83
Card Payment,Current,2024-06-22 14:24:10,2024-06-23 10:56:58,Glade Food & Wines,-6.00,0.00,GBP,COMPLETED,75.07
Transfer,Current,2024-06-22 14:24:11,2024-06-22 14:24:11,Depositing savings,-1.00,0.00,GBP,COMPLETED,237.42
Transfer,Current,2024-06-22 14:36:23,2024-06-22 14:36:23,Depositing savings,-0.18,0.00,GBP,COMPLETED,237.24
Card Payment,Current,2024-06-22 14:36:23,2024-06-23 09:46:07,Elior,-12.82,0.00,GBP,COMPLETED,111.61
Transfer,Current,2024-06-22 21:14:20,2024-06-22 21:14:20,Depositing savings,-0.06,0.00,GBP,COMPLETED,237.18
Card Payment,Current,2024-06-22 21:14:20,2024-06-23 10:02:16,Deliveroo,-13.94,0.00,GBP,COMPLETED,81.07
Transfer,Current,2024-06-23 07:39:55,2024-06-23 07:39:55,Depositing savings,-0.80,0.00,GBP,COMPLETED,236.38
Card Payment,Current,2024-06-23 07:39:55,2024-06-24 10:19:07,Elior,-4.20,0.00,GBP,COMPLETED,66.83
Transfer,Current,2024-06-23 07:49:18,2024-06-23 07:49:18,Depositing savings,-0.35,0.00,GBP,COMPLETED,236.03
Card Payment,Current,2024-06-23 07:49:18,2024-06-24 09:24:28,Elior,-2.65,0.00,GBP,COMPLETED,71.03
Transfer,Current,2024-06-23 14:20:32,2024-06-23 14:20:32,Depositing savings,-0.59,0.00,GBP,COMPLETED,74.48
